text,Categoria
"Quiero un ordenador para jugar juegos potentes y hacer directo","Gaming"
"Necesito un PC para tareas básicas de oficina","Home bajo"
"Busco un ordenador para estudiar en la universidad","Estudios"
"Quiero un equipo para navegar por internet y usar Word","Home bajo"
"Me interesa un PC para diseño gráfico y edición de video","Diseño alto"
"Quiero un ordenador para jugar juegos de rol","Estudios"
"Quiero un ordenador para jugar juegos de rol de baja calidad","Home"
"Quiero un ordenador para editar videos de la familia","Estudios bajo"
"Quiero un ordenador para editar videos","Estudios"
"Quiero un ordenador para editar videos de una escuela","Diseño bajo"
"Quiero un ordenador para editar videos para alguien famoso", "Estudios alto"
"Quiero un ordenador que corra juegos triple A","Gaming"
"Quiero un ordenador que corra juegos triple A y tenga Wifi","Gaming"
"Necesito un ordenador para programar videojuegos Que tengan muchos requisitos","Diseño alto"
"Quiero un ordenador para programar videojuegos pixelart", "Estudios"
"Quiero un ordenador para programar videojuegos", "Estudios alto"
"Quiero un PC para aprender a programar y practicar en casa","Estudios bajo"
"Necesito un ordenador para diseñar maquetas 3D complejas","Diseño alto"
"Busco un PC económico para escribir documentos y ver películas","Home bajo"
"Quiero un equipo para hacer streaming y editar videos profesionalmente","Gaming"
"Necesito un ordenador para tareas académicas generales","Estudios"
"Busco un PC que me sirva para jugar y editar fotos básicas","Home"
"Quiero un ordenador para un estudiante de diseño gráfico","Estudios alto"
"Busco un PC para tareas domésticas y jugar ocasionalmente","Home"
"Quiero un PC para uso general y gaming ligero","Home"
"Necesito un equipo para programar en Python y C++","Home"
"Quiero un ordenador para experimentar con realidad virtual","Estudios alto"
"Busco un PC para modelar en 3D y renderizar animaciones","Gaming"
"Necesito un tipo de ordenador para una empresa que se dedica a modelar en 3D y renderizar animaciones","Diseño alto"
"Quiero una computadora para ver series y películas en 4K","Estudios bajo"
"Me hace falta un ordenador para mis clases online de matemáticas","Home bajo"
"Necesito un PC para jugar a juegos indie","Home"
"Quiero un ordenador para editar podcasts y audios","Home"
"Busco un equipo para hacer análisis de datos con grandes volúmenes","Fabrica"
"Deseo un ordenador para jugar a juegos de estrategia en línea","Estudios"
"Quiero un PC para uso diario y ocasionalmente editar fotos","Estudios bajo"
"Busco un ordenador para crear y editar música en casa","Estudios"
"Necesito un PC para jugar a juegos retro y emuladores","Estudios bajo"
"Quiero un ordenador para clases de diseño básico","Diseño bajo"
"Deseo un equipo para hacer streaming de mis sesiones de juego","Gaming"
"Busco un ordenador para usar software de simulación científica","Estudios alto"
"Quiero un PC para jugar a juegos de construcción y estrategia","Estudios alto"
"Necesito un ordenador para ver videos 360 y VR","Gaming"
"Quiero un equipo para trabajar en diseño de interiores","Diseño alto"
"Busco un PC para programar aplicaciones móviles","Estudios"
"Quiero un ordenador para uso general y ocasional edición de videos caseros","Estudios bajo"
"Necesito un ordenador para editar videos con salida HDMI y DisplayPort","Diseño bajo"
"Quiero un PC para jugar con WiFi y Bluetooth","Diseño bajo"
"Busco un ordenador para programar que tenga 16GB de RAM","Estudios"
"Deseo un equipo para diseño gráfico con 32GB de RAM y salida HDMI","Diseño alto"
"Quiero un ordenador para uso básico con WiFi","Home bajo"
"Busco un PC para usar en casa con salida HDMI y DisplayPort","Home"
"Quiero un ordenador para jugar con WiFi integrado","Home"
"Necesito un PC para diseño gráfico con 64GB de RAM","Diseño alto"
"Busco un ordenador para editar videos con salida HDMI","Diseño bajo"
"Deseo un equipo para programar con Bluetooth","Home"
"Quiero un ordenador para clases con WiFi","Estudios bajo"
"Necesito un PC para jugar con salida HDMI y DisplayPort","Diseño bajo"
"Busco un ordenador para diseño con salida HDMI y VGA","Estudios alto"
"Quiero un equipo para ver películas con salida HDMI y WiFi","Home bajo"
"Deseo un ordenador para editar fotos con 32GB de RAM","Estudios alto"
"Busco un PC para usar en casa con WiFi y Bluetooth","Home"
"Quiero un ordenador para tareas básicas con salida HDMI y WiFi","Home bajo"
"Necesito un PC para trabajo con 16GB de RAM y WiFi","Estudios bajo"
"Deseo un equipo para diseño con WiFi y Bluetooth","Diseño bajo"
"Quiero un ordenador para jugar con 32GB de RAM","Gaming"
"Busco un PC para edición de video con salida HDMI, DisplayPort y WiFi","Estudios"
"Quiero un ordenador para programar con WiFi y 16GB de RAM","Estudios"
"Necesito un PC para jugar con salida HDMI y Bluetooth","Diseño bajo"
"Busco un ordenador para diseño con 64GB de RAM y salida HDMI","Diseño alto"
"Deseo un equipo para ver películas con WiFi y salida HDMI","Home bajo"
"Quiero un ordenador para clases con 8GB de RAM y WiFi","Estudios bajo"
"Necesito un PC para modelado 3D con salida DisplayPort","Estudios alto"
"Busco un ordenador para jugar con WiFi, HDMI y Bluetooth","Estudios"
"Quiero un PC para tareas de oficina con WiFi y salida HDMI","Home bajo"
"Deseo un equipo para editar audio con WiFi y 32GB de RAM","Estudios"
"Busco un ordenador para programación con salida HDMI y 16GB de RAM","Estudios bajo"
"Quiero un ordenador para jugar y editar videos con WiFi y salida HDMI","Diseño bajo"
"Necesito un PC para diseño gráfico con salida DisplayPort y WiFi","Diseño bajo"
"Busco un PC para jugar con salida HDMI, WiFi y 16GB de RAM","Diseño bajo"
"Quiero un ordenador para editar videos con 32GB de RAM y WiFi","Gaming"
"Necesito un equipo para diseño gráfico con salida HDMI y DisplayPort","Estudios alto"
"Deseo un ordenador para programar con 8GB de RAM y salida HDMI","Estudios bajos"
"Quiero un PC para uso doméstico con WiFi y Bluetooth","Home bajo"
"Busco un ordenador para jugar con 32GB de RAM y salida DisplayPort","Estudios alto"
"Necesito un PC para diseño con WiFi, Bluetooth y 64GB de RAM","Gaming"
"Deseo un equipo para editar videos con salida HDMI, WiFi y Bluetooth","Diseño bajo"
"Quiero un ordenador para clases con WiFi y 16GB de RAM","Estudios bajo"
"Busco un PC para jugar con salida HDMI, DisplayPort y WiFi","Diseño bajo"
"Quiero un ordenador para trabajar con salida HDMI y 32GB de RAM","Diseño bajo"
"Necesito un equipo para diseño con salida HDMI, WiFi y 16GB de RAM","Diseño bajo"
"Quiero un ordenador para jugar con 64GB de RAM y WiFi","Gaming"
"Necesito un PC para diseño gráfico con salida HDMI, WiFi y Bluetooth","Diseño bajo"
"Busco un ordenador para programar con WiFi, 32GB de RAM y salida HDMI","Fabrica"
"Deseo un equipo para ver películas con WiFi y salida DisplayPort","Home bajo"
"Quiero un PC para clases online con 8GB de RAM y WiFi","Home bajo"
"Necesito un ordenador para trabajar con salida HDMI, DisplayPort y WiFi","Home"
"Busco un PC para editar fotos con WiFi, 16GB de RAM y salida HDMI","Estudios"
"Deseo un ordenador para jugar con salida HDMI, DisplayPort y 32GB de RAM","Gaming"
"Quiero un equipo para editar videos con WiFi, Bluetooth y salida HDMI","Estudios"
"Busco un ordenador para uso diario con WiFi, HDMI y 8GB de RAM","Home bajo"
"Quiero un PC para diseño 3D con WiFi, 64GB de RAM y salida DisplayPort","Diseño alto"
"Necesito un equipo para programar con salida HDMI, WiFi y 16GB de RAM","Home"
"Busco un ordenador para jugar con salida HDMI, WiFi, Bluetooth y 32GB de RAM","Gaming"
"Busco un ordenador para jugar con salida HDMI, WiFi, Bluetooth y 16 de RAM","Diseño bajo"
"Quiero un PC para editar videos con WiFi, 64GB de RAM y salida HDMI","Diseño alto"
"Quiero un PC para editar videos con WiFi, 8GB de RAM y salida HDMI","Estudios bajo"
"Necesito un equipo para diseño gráfico con salida DisplayPort, WiFi y 32GB de RAM","Gaming"
"Deseo un ordenador para programar con 16GB de RAM, WiFi y salida HDMI","Estudios"
"Quiero un ordenador para ver películas con WiFi, Bluetooth y salida HDMI","Home bajo"
"Busco un PC para jugar con 8GB de RAM, salida HDMI y WiFi","Home"
"Necesito un ordenador para trabajar con salida HDMI, WiFi y 16GB de RAM","Home"
